,address,postal_code,rest_name,average_cost,additional_info,rating,rating_category,review,review_date_time,user_name
527,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"NEGATIVE
   OverPriced!. The service was horrible. First time in New York and i wanted to try a real Kobe beef burger, too bad real Kobe beef isnt sold in the US anymore. The burger was over priced and wasnt all that great. Should have gone to Carls Jr. for a 6 dollar burger instead (If NY had any).",26-Jul-10,Chris A
528,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"POSITIVE
   Best burger I've ever had. I would like to die with that burger in my mouth.",28-Jun-10,Eatbaconsalt
529,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"NEGATIVE
   If we had allowed the vile hostess to upset us, we never would have met the great bartender and server, and had the fantastic food. Don't let that snotty gal stop you from meeting the rest of the wonderful staff and having the great food!",11-Jun-10,Otter
530,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"Good and Plenty, overpriced that is.. I've been to most of the major steakhouses in the city, Brooklyn, Queens... etc and the homestead is a nice place for steak, but I think it's overpriced. They charge you wayyy to much for wayyyy to little. There are plenty of steakhouses that are much cheaper in the city if your looking for a great steak.",15-Apr-10,Missy
532,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"NEGATIVE
   Overpriced / Tenderized. Overpriced for what they serve. Who needs to tenderize a rib eye? The service was good considering the volume of customers our server had to handle. The appetizer of east/west coast oysters and king crab was so-so, the west coast oysters were miniscule. If the meat inside the oyster does not fill up a small oyster fork the kitchen should replace it with a more sizeable oyster, especially if one is paying $4 per piece. The king crab was served cold and didn't have much flavor. The entree arrived and I had to send it back once because the rib-eye was overdone. The next time it was done perfectly but when meat crumbles under your knife you know tenderizer had something to do with it. I've made better steaks for under $10 on my Weber. Buyers remorse - yes but only because the quality was way below my expectations.",22-Mar-10,Rick
533,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"POSITIVE
   Great burgers and fries. Tried the Kobe and the bacon slab. Both huge. Both great. Fries are very nicely done as well. Pricey but hey, it's NYC. Definitely worth a visit.",18-Mar-10,California3
534,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"POSITIVE
   Old Homestead. Whenever I visit New York City, I HAVE to eat steak here! I love their bone in rib-eye! Their jumbo shrimp cocktail is delicious! Also, their spicy ketchup is delicious! It adds the perfect punch to the meal, without being too spicy, but adding a zest to the meal in itself.",21-Feb-10,Caitlin Nguyen
535,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"There are many historical restaurants in New York; none of them have been around quite as long as this iconic steakhouse. The Old Homestead has been serving a carnivorous dining crowd since 1868, fittingly located in the now hip and trendy Meat packing di ...
Read full post on dmanburger.com",8-Jan-10,DMANBURGER
536,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"New York has always been a burger-obsessed city, so to say that there is a current ""wave"" of burger frenzy going on is merely an understatement. This place has gone just plain burger nuts, bordering on insanity. Which isn't to say that maniacal minced-mea ...
Read full post on gosstronomy.wordpress.com",1-Aug-09,Michael Shafran
537,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"NEGATIVE
   Overpriced / Tenderized. Overpriced for what they serve. Who needs to tenderize a rib eye? The service was good considering the volume of customers our server had to handle. The appetizer of east/west coast oysters and king crab was so-so, the west coast oysters were miniscule. If the meat inside the oyster does not fill up a small oyster fork the kitchen should replace it with a more sizeable oyster, especially if one is paying $4 per piece. The king crab was served cold and didn't have much flavor. The entree arrived and I had to send it back once because the rib-eye was overdone. The next time it was done perfectly but when meat crumbles under your knife you know tenderizer had something to do with it. I've made better steaks for under $10 on my Weber. Buyers remorse - yes but only because the quality was way below my expectations.",22-Mar-10,Rick
538,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"POSITIVE
   Great burgers and fries. Tried the Kobe and the bacon slab. Both huge. Both great. Fries are very nicely done as well. Pricey but hey, it's NYC. Definitely worth a visit.",18-Mar-10,California3
539,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"POSITIVE
   Old Homestead. Whenever I visit New York City, I HAVE to eat steak here! I love their bone in rib-eye! Their jumbo shrimp cocktail is delicious! Also, their spicy ketchup is delicious! It adds the perfect punch to the meal, without being too spicy, but adding a zest to the meal in itself.",21-Feb-10,Caitlin Nguyen
540,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"There are many historical restaurants in New York; none of them have been around quite as long as this iconic steakhouse. The Old Homestead has been serving a carnivorous dining crowd since 1868, fittingly located in the now hip and trendy Meat packing di ...
Read full post on dmanburger.com",8-Jan-10,DMANBURGER
541,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"New York has always been a burger-obsessed city, so to say that there is a current ""wave"" of burger frenzy going on is merely an understatement. This place has gone just plain burger nuts, bordering on insanity. Which isn't to say that maniacal minced-mea ...
Read full post on gosstronomy.wordpress.com",1-Aug-09,Michael Shafran
542,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"NEGATIVE
   This is an aweful place.rip off place.if you wanna waste your money and time go to this steak house.",31-May-09,Denis Dyshko
543,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"POSITIVE
   Garlic Bread. I don't think this place is worth how expensive it is BUT if you go here you absolutely must without a doubt order the garlic bread. I know it seems like an odd thing to favor at a steak house but I have vegetarian friends who go here just for this bread. Probably has a 1000 calories per piece but basically heaven in your mouth.",7-Oct-08,GINF
544,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"POSITIVE
   Mooo. When in Ny I stay at the Maritime hotel and always eat here. it's gotten better over time.

facebook.com",24-Jul-08,Bruce K. AKA Salt Of The Earth Projects
545,"56 9th Avenue, New York, NY 10011",NY 10011,Old Homestead Steakhouse,140,"['Takeout Available', 'Full Bar Available', 'Outdoor Seating', 'Nightlife', 'Lunch Menu']",4.0,good,"There was a burger war in New York when I arrived and it was between Daniel Boulud of Daniels fame and db Bistro Moderne and Marc Sherry of Old Homestead, the oldest Steak House in New York. Many column inches were written about it by food critics and, cr ...
Read full post on thursdayclub.com",13-Dec-07,Paul..
546,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  This is one of the best burgers I've had. It's kind of my first time eating in New York city. This is one of the best burgers I've had. It's kind of my first time eating in New York city.",one month ago,Ryan Attiyeh
547,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  It is undoubtedly the best burger place in the world. I love how the buns are engineered, how nothing slides down to your lap. Recommended- Smokeshack with fifty.",2 months ago,Ravenous Lass
548,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Is shake shack the best burger in the world? Maybe. Is it he best burger in New York? Maybe. All of that depends on what kind of burger you like.

If speed, freshness, quality and value for money are all priorities then it's hard to bear. It doesn't really matter what you get because it's all good.",2 months ago,Cal Francis
549,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  One of the best places in NY to get a taste of the typical American Fast Food. They have everything from a wide variety of big and tasty American burgers to a number of thick shakes to quench your thirst and hunger for American fast food. I've added a picture of how the shop is such a glowing firefly in midst of Madison square park at night and not of the tasty food because that attracted more of my attention!",3 months ago,Samanvaya (Sameer Pise)
550,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  An amazing find. Spectacular hospitality and market fresh food. Lively and extremely welcoming. The owner is approachable and generous. Will be back on our next visit.",5 months ago,Dr Daniel Wank DDS
551,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Read the reviews so thought we would check this please out.

Having never visited NYC before we didn't know what to expect and initially were disappointed as it's a fast food outlet in the busy station terminal. However the freshly prepared burgers and fries along with amazing shakes completely made up for it. They were incredibly tasty and not dripping in fat. We had to wait with a buzzer so we knew they had prepared for us and they weren't just sat waiting.

Totally recommend, 2 burgers, 2 fries (1 with bacon/cheese/BBQ sauce) and 2 shakes came in at $35 so not too expensive either",5 months ago,Prat Usha
552,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  One of our favourite places while in New York.

Iconic, great location, buzzing with people and pets.

Both got burgers, shared the fries and shared a shake.

Doesn't go wrong. Be mindful it's popular so there is a little waiting.",6 months ago,Fried Reus
553,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  This place has the worst service ever, I ordered the food and the food just came after more than 30 mins. So, I don't want to go back to this place again.",10 months ago,Smashyourhunger
554,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Been here for the second time, and still enjoying every bites I have on their burgers.

I love their bread, it's 'chewy' and very delightful to eat!

I always enjoyed my burgers with their red wine on a glass. Good ones!",10 months ago,Dryke
555,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  We came for an earlier lunch at around 11:30 am. It was efficiency because we didn't have a line! I requested the shack stack and fries - last time I ate here I believed the burger was so delicious but so small so this time I doubled down. Yes, it was like $9, which is pretty crazy for a burger like this, but I had to try it. First bite was incredible. The combo of the crunch of the fried mushroom with that gooey cheese on the burger and soft sweet bun was heaven.",10 months ago,Agam Berry
556,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Nice place, but always crowded...

Great bacon burguer! Perfect meat, good bread and excellent sauces. The fries with cheese and bacon are perfect too. Doses are really big.

The portobello mushroom burguer is a bit boring and greasy.",11 months ago,Salvador Mathias
557,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  The food is okay a bit on the greasy side and a little expensive. The cashier was nice and the place itself was nice but small. It's nice to be in the park though.",13-Oct-16,Daniel E Sampson
558,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  I'm glad i only found this place towards the end of my trip because i would have come here everyday for two weeks and been the size of a house! This place is great!! Outside in the park under lights, i had the double smoke shack burger and cheese fries and it was delicious! Their beer is great too! The burger is everything you want it to be!",12-Aug-16,Dre
559,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Picturesque setting for a burger place. Shorter lines in the evening than the other locations I've been to in the city. Their fries are so addictive. I always have to resist. It's a nice little setting for dining outside. Skip the other chains nearby and come here for a treat and enjoy the park",27-May-16,Xtine
560,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  In 2013, Mr. Lew?s Great Burger Search made its first ever trek across the U.S. border.  While that trip went through the state of New York, some of its finest and most well-known burgers weren?t featured.  This time around, in 2016, that oversight would finally be rectified with a return visit to the borough of Manhattan.  The first stop on this whirlwind tour takes us to the original Shake Shack location. ...
Read full post on mrlewburger.com",10-Apr-16,Mr. Lew's Great Burger Search
561,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  I just love it!! First time trying Shake Shack and we fell in love. Cheeseburger, cheese fries and strawberry cheesecake. Perfect for a casual fast-food meal",6-Apr-16,Carolina Alves
562,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Amazingly delicious burgers and mouth watering cheese fries! The strawberry milkshake tastes like heaven, so creamy and perfectly sweet. It's so sad that there aren't any Shake Shacks in Melbourne!",3-Mar-16,Georgina Von Feast
563,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Doughy brioche bun. Plastic cheese sauce and a burger that wouldn't taste amiss in a BK. We weren't impressed by the taste for the price. The lemonade was good.

foodanddrinkglasgow.co.uk",25-Feb-16,Glasgow Foodie
564,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  This one scratches me right where I itch. So I am eating a kick ass burger with a kick ass shake outside, in a park in the middle of what is arguably the best city in The world.

Lol. Pinch me.",15-Feb-16,Wally Grobb
565,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  It is the shake shack experience that makes it worth it. It is not the best burger you will ever have, however it is very good. If you are in new york, go to madison square garden and try shake shack",14-Feb-16,KindaH
566,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  This was probably the best burger I had during my stay in NY. The patty is juicy and well done, the ingredients are fresh, and the cheese is amazing. They all add up to make one mouthwatering and stuffing burger. If you're planning a visit to NY anytime soon, make sure you drop by to try this burger.",25-Jan-16,Hadi Tamim
567,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  First timer! Wait from end of the line to food in hand was about 40 minutes. You can order a drink or shake in the separate window and get back in line though which is considerate of the shack. I ordered a double shack burger, fries, and a vanilla shake. The burger was on point; it was cooked medium rare and was very juicy. I could really taste the flavor of the quality beef! The bun was also quite exceptional. The crinkle cut fries are in a world of its own, in both texture as well as flavor! The shake though was lacking.. Not even frozen by the time it got into my hand and after all it is winter..",16-Jan-16,Leandro Martins
568,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Consigliato da una guida sono andata, sicuramente se si vuole spendere poco con 15 dollari si riesce a pranzare ma per chi è in vacanza consiglio di spenderne 10 in piu' e mangiare un vero succulento hamburgher. Qui sono piccoli, morbidi in un locale affollato in cui si fa fatica a vedersi. Ok per pranzo veloce ed economico",12-Dec-15,Ka Tia
569,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  ""... And then it hit me?I felt ... the taste [of Shake Shack burgers] was committee-designed, focus-grouped, and market-tested to the extreme before being made available to the public. Not that there's anything wrong with making sure you have a great product before selling it. Though the burgers possess all of my favorite food properties?salty, savory, sweet, spicy, smoky?they seem universally devoid of one of the most important quality: soul. What the burgers rightfully boast in looks and pedigree (and, yes, some decent taste), they ultimately lack in personality."" ...
Read full post on kac-food.com",8-Dec-15,KAC Food
570,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  One of the most amazing hip hop fast food places. The location is one of their prime and is always crowded. It is must go place in cold winters, sitting outside in super cold weather under the gas heaters and hot fries and sweet concrete. Beware, the wait times can exceed one hour with no proper waiting area. Staff is energetic and does best to serve fast. A must got place.",17-Oct-15,Nilesh C.
571,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  These are, by far, the best burgers in the World. I mean it. I've traveled all over, and I always have burgers whenever I can (simply because it's my measuring tape for good food!). EVERYTHING about a Shake Shack burger is done perfectly. Ingredients are fresh and great, the flavor is amazing, the sides are incredible, even the lemonade is fantastic. I could not get enough of this!

True story: I stood in the rain at almost 11 PM (closing time) on a saturday night in August 2014, just to get a burger. There were rats and roaches running around me. My friend's iPhone got wet and stopped working. It did not matter. Burgers were enjoyed, nothing made us mad or irritated. So worth it. 10/10, would get wet again.",8-Oct-15,Javier Altman
572,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Such a beautiful venue with great atmosphere and super friendly service. The burgers were great. Fresh garnish, gooey cheese and rich, soft buttery buns. Yum! The fries are very average - floury and bland. Save space for a shake or extra burger instead!",23-Sep-15,Jordan
573,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Expensive to say the least. Native New Yorkers can disagree with me all they want but, to brave the long lines for a so-so shake isn't my style. Worth it for one try but then you gotta find yourself a new chocolate shake spot.",19-Sep-15,Hangry Lady
574,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Bom, gostoso, boa localização e barato. Achei muita gente no local. A única coisa desagradável foi a fila que tivemos que esperar. Vale a pena experimentar!",19-Sep-15,Caroline
575,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  Some locals call it the ?Best Burger in New York.? So I guess I was lucky enough to be in town just in time for Shake Shack?s grand re-opening at its original location in Madison Square Park. Let?s see what the hype is. ...
Read full post on finestdish.com",15-Sep-15,FinestDish.com
576,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  I didn't experience the very long queues as it was raining when I went here. The place was great! I can imagine that this looks better at night. I ordered shrooms burger and it was one of the best burger I have tasted. It has a crunchy patty but, very yummy!",14-Sep-15,Vielle Perez
578,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  I really loved this place.... Except for the line which took close to a million years. I got the daily special which was a patty, special sauce, bacon and cheese. It was, needless to say, amazing. Do not skip on their frozen custard. It will blow your mind.",3-Sep-15,Sophia Rizos
579,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"RATED
  The line seemed promising. If that many people are waiting, it must be for something good. Good, but not great. First of all, a grilled portobello is not a proper ""veggie"" burger. In this particular case, it's just a large mushroom drowning in cheese inside a bun. I must say the carnivorous offers were much more appealing. Nothing to say about the fries; they were gone in a New York minute! The frozen custard shake was dessert on a cup - sugar rush! The setting in the middle of Madison Square park adds to my rating, but not even the squirrels wanted more than a piece of my burger.",1-Jul-15,Tough Veggie
580,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,Freaks. Too much process,20-May-15,Dint
581,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"Shake Shack was mandatory; I would have walked barefoot through snow to get to any of the several locations in Manhattan. ...queued in the reasonable line, ogled the Squirrels and anticipated the little box of goodies that were going to be ours after our buzzer sounded. When a chain of burger joints has its own ?Shack cam? you know you?re in for a real damn good burger. ...
Read full post on forfoodssake.net",18-May-15,Forfoodssake
583,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"POSITIVE
   I miss you Shake Shack. Living in Australia, I just miss this so much!",12-Feb-15,Roxy.powers2
585,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"POSITIVE
   Amazing!. We were expecting a huge line up and a long wait time, but we ordered and picked up our burgers in less than 15 minutes. I ordered the Double Shack Burger with fries and coke and wow the burger was legit!! The patty was very juicy and flavorful. I liked how the burger was very simple without a whole bunch of extra condiments because it focused on the taste of the beef. Even the fries were just as delicious. It's too bad they don't have a Shake Shack here in Toronto.

foodieelove.com",16-Jan-15,Foodieelove
586,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"POSITIVE
   Gotta Love the Shackburger. Although I try to not make a habit of eating greasy food, i do enjoy treating myself to Shake Shack once in a while. The Shackburger is always grilled just right, and tastes like a home cooked burger done on a backyard grill. Always awesome and always filling. And don't forget the fries!",9-Dec-14,Mark.anders2
587,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"POSITIVE
   Loved it. Great location, short Qing time, prompt waiting time for food
Good choice of burgers, hotdogs , shakes etc
After a day touring this is just what the doctor ordered !
Good prices to",2-Nov-14,Breffni
588,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"Was looking for good NYC burgers. That?s why I was here. XD Somehow a bit overrated but a good, fast and affordable settlement for your glowling stomach... ...
Read full post on stepupmemories.tumblr.com",20-Jul-14,Lin
589,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"POSITIVE
   Best burgers. I can see why people are addicted to these burgers. Mych better then five guys and othet hipster burgers",20-Jul-14,Emit K
590,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"Started its humble beginnings as a hot dog cart in Madison Square Park 2001. Time machine forward to 2014 and they are in 5 states and 4 countries. Have a friend in NYC that has been trying to get me in here for over 2 years and now I know why, INCREDIBLE. The Shack Stack is off the hook and the Custard is awesome. 2014 Food Network Burger Bash ?Best Burger?. Thanks James H. Shack Stack: Cheeseburger and a ?Shroom Burger (Crisp-fried portobello mushroom filled with melted muenster and cheddar cheeses, topped with lettuce, tomato and ShackSauce) Shack Stack: Cheeseburger and a ?Shroom Burger (Crisp-fried portobello mushroom filled with melted muenster and cheddar cheeses, topped with lettuce, tomato and ShackSauce) ...
Read full post on damonrichard.wordpress.com",11-Apr-14,Troy Dick
591,"Madison Square Park, 23rd & Madison, New York, NY 10010",NY 10010,Shake Shack,30,"['Takeout Available', 'Wine and Beer', 'Outdoor Seating', 'Dog Friendly', 'Gluten Free Options']",4.9,excellent,"I'm from Australia and that was a grate burger, fries and shake. U must try but be prepaired to wait the line goes outside but worth the wait.",15-Mar-14,Coffee Man
