review,rest_name,review_date_time,user_name
"NEGATIVE
   Simply.... Not worth the hoopla!",Serendipity 3,8-Aug-09,Pickytiger
"NEGATIVE
   Terrible food, desserts ok.",Serendipity 3,27-Jul-09,Theresa
"POSITIVE
   I love it here. However I do have to say LEAVE THE KIDS AT HOME. it resembles alice in wonderland yes, but let the adults enjoy it. The food is pricy but the portions are big. Skip the frozen hot chocolate,make sure you get a sundae. Overall I love it here, the food is so good and the waiters are so nice. Def make a reservation though or you could wait up to an hour.",Serendipity 3,23-Jul-09,Robert Wollman
"I was just browsing through Urbanspoon.com's data base and found Serendipity 3! Serendipity 2 was closed down due to a rodent infestation, and I'm not too sure why the first one closed down, but all I know is Serendipity is at it again with its 3rd try! T ...
Read full post on oasisormirage.blogspot.com",Serendipity 3,25-Jun-09,Oasis Or Mirage
,Serendipity 3,25-Jun-09,Oasis Or Mirage
"POSITIVE
   Worth The Wait. I have been to this cafe more than 3 times now and each time gets better. This cafe is known for their Frozen Hot Chocolate but there are other food items you have to try. The sandwiches are good. If you plan to visit NYC, make sure to visit this neighborhood gem. Reservations are recommended.",Serendipity 3,23-Jun-09,SouthPhillyPT
"Yes, it says it all right there. I LOVE NEW YORK. So it’s been a good month since I have been back in the Bay Area and I have had a lot to reflect on. New York City seems like a dream world when you are not from it. From the events of 9/11 and watching mo ...
Read full post on jobostonisafoodie.blogspot.com",Serendipity 3,2-Jun-09,Joanne Boston-KwanHull
"POSITIVE
   Amazing!!!!!!!",Serendipity 3,6-May-09,Matthew Butler
"Serendipity 3!!!. Love this place! The best desserts and atmosphere!
Love it!",Serendipity 3,5-May-09,Optional
"NEGATIVE
   Tourist Trap. Hours of waiting for what exactly? Get over it.
Be realistic and go somewhere else. Life is too short to waste anything on this HYPE.",Serendipity 3,25-Mar-09,Doug
"POSITIVE
   Dessert only. MUST try the frozen hot chocolate....it's amazing! I purchased the packets they sell to make it at home,but of course it's not the same. I made the mistake once of ordering an entree instead of just getting the normal dessert...the food was horrible. My friends didn't like theirs either. I would recommend this place solely for the frozen hot chocolate.",Serendipity 3,25-Mar-09,Kim
"NEGATIVE
   Whats the big deal?. I am not sure what the hype is about. I really don't like this place. Everytime I have been there I have had to wait about an hour to get a table. Sure the frozen hot chocolate is good, but I have had better desserts without the wait. The entrees were expensive and only average in taste. I try to avoid this place. I only go when my friends/family come from out of town and insist on it.",Serendipity 3,9-Feb-09,Destiny J
,Serendipity 3,17-Jan-09,Alice
"POSITIVE
   Frozen Hot Chocolate. I LOVE, LOVE, LOVE their frozen hot chocolate!!! M'mm, amazing :-)",Serendipity 3,17-Jan-09,Luscious1104
"POSITIVE
   Frozen Hot Chocolate!!!. Definitely try the frozen hot chocolate. More of a bring tourist to locale than anything. Definitely make reservations.",Serendipity 3,7-Jan-09,Iloveallfood
"This is the cutest little social cafe and dessert parlor. No wonder they made a movie after this place. It was so cozy and original and quite themed. The lighting is low, the people are intimately sat together...it has this war ...
Read full post on hungrybella.blogspot.com",Serendipity 3,22-Dec-08,Hungrybella
,Serendipity 3,8-Dec-08,Miranda
,Serendipity 3,7-Dec-08,Barney
"POSITIVE
   Bon a petit. Try not to go here on a somewhat full stomach cause you'll end up suffering. Suffering because you either won't be able to finish your amazing dessert and have to part with it, OR you'd have to suffer through a stomach ache trying to eat your amazing dessert.

Explore with your taste buds because there's plenty of desserts to try!",Serendipity 3,4-Dec-08,Stephuila
"POSITIVE
   Be ready to wait!. Serendipity is a great little place, but it's no secret in NYC. I believe the wait was just over 3 hours every time I've been. That being said, it's in a great part of town, enjoy Central Park while you wait, you will not regret it!",Serendipity 3,24-Nov-08,MJ
"POSITIVE
   1st date. My girlfriend and I ate lunch here for our first date in NY. Must try the frozen hot chocolate...da bomb!",Serendipity 3,5-Nov-08,Matt Harmon
"POSITIVE
   Not to Miss. Great for out of towners, kids and sweet lovers. The frozen hot chocolate is delish, even in the winter.",Serendipity 3,14-Oct-08,Alli411.com
"We exited the 6 train at 59th and Lexington and walked up the street to Serendipity 3. They were known for their desserts and I couldn't wait to try the famous Frozen Hot Chocolate. My friend ran in to the res ...
Read full post on escapetogether.com",Serendipity 3,27-Feb-08,Escape Together LLC
"RATED
  We found that this restaurant was overhyped. Their ""famous"" cheeseburger was mediocre, and the fries were over-salted. When we arrived, we were informed that they were only offering four menu items - extremely disappointing! The eclectic atmosphere was noteworthy; however, the repetitive techno music was intolerable. Save your money; go elsewhere.",The Spotted Pig,one month ago,Jacob
"RATED
  I can’t say enough about the Spotted Pig, namely the burgers!  I always order them every time I come.  The ambiance and crowd of the restaurant is terrific.  The service is always prompt and considerate.  I love to come during down hours often when it is less busy.  This place is really popular and beloved.  Outside of the burgers, the selection of beers can’t be beat.  In addition, the gastro pub menu features a medley of interesting takes on traditional pub fare.  I first came here for a work meeting years ago and have returned countless times over the years.  For my money, they have the best burgers in NYC.  The brunch too here is wonderful and shouldn’t be missed.  The neighborhood, too, presents the best of New York.  Nestled in the West Village, you get a charming experience that you won’t forget!",The Spotted Pig,2 months ago,Jonelle Theethem
"RATED
  Finally the most spoken burger of the spotted pig. Well the burger is not bad, but not something to be crowned as the city's best burger. The shoestring fries which served with the burger was not crispy at all. They need to fry it a little more. Would i come again for the burger? Definitely no!",The Spotted Pig,2 months ago,Zerathul
"RATED
  On a friday evening it takes approximately 2 hours to get a table in the restaurant. They put you on the waiting list and text when the table is ready, but meanwhile you can grab a spot in one of two bars and enjoy your IPA or cocktail, which we did. Funny interior design full of pigs makes atmosphere unique and easy going. But most importantly food in this place is just perfect! I loved Sheep’s Milk Ricotta Gnudi with Brown Butter & Crispy Sage as well as Chargrilled Burger with Roquefort Cheese & Shoestring Fries. High quality medium-rare beef in a nice bun and home made rosmarine fries was one of the best meal I have ever had in NYC, seriously. This place has good vibes and I would love to come back here.",The Spotted Pig,6 months ago,Warszawskismakosz
"RATED
  came here by chance a few years go.. great burger and chips, crowds out the door, we heard Bono was inside sumwhere... nothing worse then, when celebrities ruin your meal. take 0.5 off for this..",The Spotted Pig,6 months ago,PrinceZomato
"RATED
  Welcome to the Spotted Pig, April Bloomfield’s cosy gastropub in Chelsea. You’ll find it by the cute spotted pig hanging above the entrance out in the lush front garden. April Bloomfield is an English chef with great credentials, she was originally scouted by Mario Batali before moving to New York to open the Spotted Pig. We visited just after the venue lost the Michelin star it had held since 2005, being downgraded to the Bib Gourmand guide. Nevertheless the achievement of this venue cannot be understated, to hold a star as a gastropub is to say the venue could compete with the finest of restaurants around the world while still being accessible and affordable to many.The space is small but it adds to the atmosphere. The decor is eclectic, warm and cheerful with a friendly and welcoming buzz as you enter. We visited on a weekend and gained the brunch options as well as the usual lunch choices. ...
Read full post on frenchtoastandindiepop.com",The Spotted Pig,8 months ago,Frenchtoastandindiepop
"RATED
  If you can handle the wait, the charm of eating at the spotted pig is real. Love the ricotta pancakes and the burger with awesome shoestring fries. Be prepared to jostle elbows with other diners but the food and service are worth it.",The Spotted Pig,8 months ago,Sakshi Budhraja
"RATED
  The Spotted Pig is a Michelin starred pub
Deviled Eggs: a reference in the house. A tart, almost pickled flavor to the filling with a definite hit of mustard heat, light and fresh. Hidden crystals of salt crackle between the teeth.
Devils on Horseback: bacon wrapped dates that were the perfect blend of sweet and savory. The bacon was melt in the mouth and was complemented by the sweetness of the dates. The sauce tied it all together very nicely and interestingly. Definitely a dish worth trying.
Chargrilled Burger with Roquefort Cheese & Shoestring Fries: This is a must try. The burger is simple, just with blue cheese and soft grilled bun the meat, it melted in the mouth, bursting with flavor. The shoestring fries with garlic and rosemary that came with it were a triumph all on their own. The burger is, even so, over hyped and priced.
A great experience",The Spotted Pig,9 months ago,Tuga78
"RATED
  The Spotted Pig is a perfect place for perfect dinner. I had dinner at The Spotted Pig. They are providing a great customer service and delicious food.",The Spotted Pig,10 months ago,Wicker Paradise
"RATED
  Love this place one of my favorites of all time. Hit it every time I am in town. Atmosphere is killer food is amazing- haddock chowder! Great part of the city to walk and shop in.",The Spotted Pig,10 months ago,Jk
"RATED
  I came here with my family. The food here is divine and service was amazing. The staffs are very professionals.

This was the best dining experience I have ever had. We spent over 4 hours and didn't even notice. Highly recommend this place to anyone.",The Spotted Pig,11 months ago,Mariatabakova
"RATED
  The Spotted Pig is always full. You have to go there to understand why. The atmosphere, the excellent food and the setting of the place are mesmerizing. Definitely worth the visit.",The Spotted Pig,11 months ago,299 Adelphi Street Brooklyn NY
"RATED
  Loved the vibe of this place ! You really cannot control yourself with the shoestring fries, they're so good ! The chargrilled burger is very rightly hyped up ! An amazing gastropub for a Saturday night !",The Spotted Pig,11 months ago,Sanchi S. Sehgal
"RATED
  A dynamic and wonderful British venue with a lot of character. The Spotted Pig is an organization and popular with residents. It seems to be to be a late-night dinner spot, providing homely food that's perfect throughout the winter months. Get there early to protected a table or have drinks upper level while you wait.",The Spotted Pig,11 months ago,Raychel Harvey Jones
"RATED
  I had the lunch menu which was more than enough for one person. I had the lentil soup (starter) and crispy skate salad (main course) but the best part of lunch was the dessert: Salted Caramel Ice Cream Sundea!",The Spotted Pig,18-Oct-16,Rebe Hair
"RATED
  I loved Greenwich Village in The Spotted Pig
.I am suggesting every individual to go there and have meal there . The surrounding atmosphere is good and staff is also great.",The Spotted Pig,22-Sep-16,Glen Buzzetti
"RATED
  Hands down the bet Burger in NYC! The burger was juicy, flavorful. The presentation was great, and even the shoestring fries were amazing! Who would have thought that I like fries with fried garlic and rosemary, being as picky as I am, but I did! Long wait, but worth it!",The Spotted Pig,3-Sep-16,Damien Williams
"RATED
  Es uno de mis lugares preferidos en Nueva York y no dejo de ir cada vez que visito la cuidad .
Muy buena ubicancion y ambiente y la comida es
Muy buena",The Spotted Pig,19-Jul-16,Martin Portas
"RATED
  I love pigs. These wonderful four hoofed creatures gift us with pork, bacon, ham, crackling and ribs. So, you can imagine my excitement when I was entering The Spotted Pig in New York for the first time. For the uninitiated, The Spotted Pig is a Michelin starred gastro pub run by British celebrity chef, April Bloomfield. ...
Read full post on chewyourchow.org",The Spotted Pig,8-May-16,Chris Chow
"RATED
  The burger can get a bit try due to the large burn.I love that burger .I never forget that day ..Nice decorations and comfortable feeling - good to relax out and drink a bit here too...",The Spotted Pig,2-May-16,Aria Maleki
"RATED
  What a great gastro-pub in Greenwich. We loved the look and feel but weren't sure about the Michellen rating at first and then we got our food and WOW the food is amongst the best we've had in New York. The Gnudi was my favorite.",The Spotted Pig,13-Apr-16,Ross
"RATED
  A cute place with a great vibe and good food. The burgers are a specialty but we shared the steak and it was delicious. The fries came in a heaping pile. No reservations at this place but definitely worth the wait.",The Spotted Pig,9-Apr-16,Kelli.long
"RATED
  Absolutely yummy, amazing staff, peculiar environment. We had the burger and it was so tasty , and the fries, amazing services, oh my God :)",The Spotted Pig,8-Apr-16,Wajahat Ali Abbasi
"RATED
  The Spotted Pig is a Michelin-starred ‘gastro pub’, reputedly British in style, and apparently – if top search engine results are to be believed – where certain celebrities hang out (and where numpty celebrity-stalkers go to try and see numpty celebrities. All this numpty celebrity stuff put me off. Who cares? really?).

We happened to be passing The Spotted Pig anyway, and it looks so appealing and small and befitting its local community with all the pussy-willows and plants and pig decorations outside (a bit like your local flower shop) that we just had to step inside to check it out. Enjoying the friendly bar service as well as the appealing pig-themed interior with funky food fabric stools (bacon patterns, pepper prints, etc) we decided to have a late lunch at the bar after all… ...
Read full post on louble.wordpress.com",The Spotted Pig,5-Apr-16,Lardbutty
"RATED
  A lively and charming British venue with loads of character. The Spotted Pig is an institution and popular with locals. It appears to be a late-night dinner spot, serving homely food that's perfect during the winter months. Arrive early to secure a table or have drinks upstairs while you wait.",The Spotted Pig,12-Feb-16,C.
"RATED
  I didn’t think that British food and yummy could be used in a sentence together until I went to the Spotted Pig.

April Bloomfield is the super talented chef behind the deliciousness of this gastro pub. The popularity of the Spotted Pig has started a whole trend of people milling towards gastro pubs in the city.

This little bohemian spot in the West Village offers seasonal British and Italian dishes on its menu, which are adapted from popular pub food. Just try their killer Gnudi, which are these “to die for” dumplings made with sheep’s milk ricotta. Their deviled eggs are divine as is their outstanding Banoffee pie for dessert.

 

The Spotted Pig is just one of those places that you cannot get enough off. I think I can safely say…that I’m hooked!!

therestaurantfairy.com",The Spotted Pig,24-Dec-15,The Restaurant Fairy
"RATED
  Can't go past a blue cheese burger and shoestring fries!

Not the easiest place to get to, but had to go try it out. The burger can get a bit try due to the large bun. Shoestring is probably the wrong description, it's more like spaghetti fries and you'll be amazed at how much of it you can eat. 

Nice decor and cosy feeling - good to chill out and drink a bit here too",The Spotted Pig,3-Nov-15,CityWorker88
"RATED
  Heard great reviews about the burger so we went there to try. Liked the first impression when I stepped into the restaurant. It is a cosy English pub with small and big piggy decor. I was shocked to learn that they have only one type of burger on the menu. The burger didn't taste as great as I thought it would, but I like the shoestring fries. My partner ordered the pork chop which was delicious, and I also enjoyed the chicken liver toast very much.",The Spotted Pig,25-Sep-15,Cmar
"RATED
  Absolutely delicious, amazing staff, peculiar environment. We had the burger and it was so yummy , and the fries, oh my God :) although, it's quite hard to find",The Spotted Pig,7-Sep-15,Janine Figueiredo
"RATED
  You can't visit the spotted pig and not have the great Roquefort burger and the grilled cheese sandwich . During winter make sure to have the banoffee pie . It's a great place to eat",The Spotted Pig,10-Aug-15,Ibitefood
"RATED
  Nice small place like an English pub small selection of food on the menu. I had pork special and toast chicken livers to start. It was good, good wine suggestion from staff.",The Spotted Pig,19-Jul-15,Geoff Oswald
"RATED
  We waited for over 2 hours, because of that I thought the burger was slightly overrated (wish it wasn't Roquefort cheese). Fries looked awesome but we're so thin they were kind of hard to eat. Great presentation and vibe though. Must go at least once.

satisfeednyc.com",The Spotted Pig,17-Jul-15,Margeau Barnes
"RATED
  Had a late supper at Spotted Pig.  Intimate gastro pub - smaller than anticipated.  Casual and relaxed atmosphere.  Delicious skirt steak and frites.",The Spotted Pig,18-Jun-15,Newstead Wines
"RATED
  We only stopped by for a drinks but it was very well priced and those eating around us looked like they had amazing burgers! In hind sight I wish I had tried their chocolate cake!!",The Spotted Pig,28-Apr-15,Philippa Dyne
"RATED
  Heads up their cloacas. Being inflexible doesn't make you cool - it makes you jerks. The staff wouldn't seat us at the empty table next to the rest of our party because the manager didn't want to separate our current tables for other diners despite there being plenty of room. We all arrived together but were told no tables would be available together for 8.
Uncomfortable stools, over priced drinks and inability to substitute sides (fries are terrible).
Learn some customer service or your time in the spotlight will be short-lived.",The Spotted Pig,7-Mar-15,Angus Jack Russell
"Very Cool Place and Reasonably Priced. My buddy and I had never been here, but popped in over the weekend. I'd highly recommend for dinner. The skirt steak was absolutely awesome. I'm ususally not a fan of beets, but it featured the best beets. I'd ever tasted. Very impressive. Our waitress was incredibly friendly and recommended the oysters. Very tasty!",The Spotted Pig,9-Dec-14,Mark.anders2
"RATED
  Love The Place!. The vibe is great, and I'm anxious to return to try other menu items. I liked the burger— it was the best blue cheese burger that I've ever had—but didn't find enough char on the meat, or grill flavor to make it an all time favorite. The fries were addictive.",The Spotted Pig,4-Nov-14,JEL
,The Spotted Pig,20-Jul-14,Ronmagaziner
"Chicken chow mein or just chow mein is always a favourite. But each restaurant has their own and the taste does vary from each restaurant. I personal love the chow mein from little Singapore in sunnybank. The huge portion as well at the ingredients in the combination option is always well balanced into quantity. The chow mein at Chinese garden didn't particularly have any significant taste. It's just your average chow mein. The assortment of chicken and veggies was good in ratio and portion wise wasn't too bad either. ...
Read full post on wenywonderswhy.blogspot.com",The Spotted Pig,15-Jul-14,WenY
"The Spotted Pig  in New York is so hot right now – it was recommended by chef Gary Mehigan, from Australia’s MasterChef, and by another esteemed food, wine, and beer writer in Australia. A Michelin-starred gastro pub, the couple sitting next to us at Malaparte also said it was on their list of places to go. Reading reviews, many recommended avoiding the long queues by going for lunch instead of dinner, which is what we did. The eclectic interior of The Spotted Pig, New York Walking in, it felt like I’d entered a little pub in the English countryside. It was small, walls adorned with eclectic artwork, mainy depicting pigs. I felt a little sorry our friendly host who seated us straight away because we weren’t overly warm and friendly ourselves. We were tired and had been bickering about shopping versus eating. Of course, I opted for eating and by eating, I meant eating at The Spotted Pig in Green ...
Read full post on travelletto.com",The Spotted Pig,6-Jul-14,Travelletto
"POSITIVE
   Quirky place with delicious food. We didn't get the burger even though it looked delicious. We got a special (monkfish) and the rabbit. They were both well composed with delicious, fresh ingredients and perfectly prepared. Our appetizers as well (deviled eggs and devils on horseback) were fantastic. The chef here has real skills but the place isn't pretentious as a result. We tried a few drinks and they were somewhat hit or miss but the beer list gave good options instead. If I lived in the area I would be a regular no question because this place is special.",The Spotted Pig,29-Jun-14,Chani Doggett
"This spot is classic English, through and through, with charm and food that would have kept us holed up there at our tiny table all afternoon, if the beautiful weather didn’t beckon us back outside. If I had to make a recommendation to someone visiting New York for a weekend, the Spotted Pig is the first place I would send them for any meal. ...
Read full post on bitcheswhobrunch.com",The Spotted Pig,16-May-14,Bitches Who Brunch
"The menu looked divine! My only regret was that I went there by myself and couldn’t possibly order one of each dish – trust me I really wanted to! Everyone RAVES about the burger on this menu…. I was afraid that one burger would ruin my appetite for other things. It looked huge! But damn it looked good. Maybe next time…. ...
Read full post on fairfieldcountyfoodie.me",The Spotted Pig,13-May-14,Fairfield County Foodie
"The beef, when picked away from the burger was excellent. Hard to find anywhere for this to improve really. It was a well aged blend, it appeared to have had the lightest mince and although cooked to rare rather then the medium rare ordered - I loved it. Problem was, without picking it away from the burger, I may never have tasted it. ...
Read full post on burgeraddict.org",The Spotted Pig,27-Mar-14,BurgerAddict
"Only running a partial menu but the burger was there....
Asked how I wanted my burger cooked, appreciated that. Shoestring fries were glorious.
Excellent atmosphere.",The Spotted Pig,15-Mar-14,Foodie
"We were tossing up between Minetta Tavern's black label burger, Burger Joint at Le Parker Meridien or April Bloomfield's Spotted Pig. We went for the Chargrilled Burger with Roquefort Cheese & Shoestring Fries at The Spotted Pig in the end.

Epic. Enough said. ...
Read full post on londonwingz.com",The Spotted Pig,11-Jan-14,Wingz
"...West Village staple that serves up some of the best British and Italian fusion gastro-pub fare. Aware that this little joint gets packed to the gills every night and fearing a two hour wait for food, we decided to go around 6pm for dinner (ungodly early by New York City standards). Surprisingly, the place was still busy even at that hour, but we were luckily able to snag a prime seat in the corner booth. As expected, everything was well done, but the standout dishes of the night were the tender and flavorful Smoked Mackerel with Sweet Potato Mash and House Pancetta ($16) and the decadent but not cloyingly sweet banana toffee and chocolate Banofee Pie ($8). Armed again with my new Weryoo phot ...
Read full post on financefoodie.com",The Spotted Pig,9-Dec-13,Finance Foodie
"Look for what you might think is a florist shop.  There is no sign- just a spotted pig hanging over the door.  You’ve arrived.  Welcome to The Spotted Pig . ...
Read full post on thehungrysprout.com",The Spotted Pig,13-Nov-13,Beauty And The Beets
"I didn't think the food at Spotted Pig is as glorious as how my colleague has described but it was probably due to the overwhelming expectations. (The food was delicious but not glorious). Nevertheless, I have only been there once. It's one of those restaurants that I am willing to visit again to see what I might have missed! ...
Read full post on letstalkfoodandetc.blogspot.com",The Spotted Pig,8-Nov-13,Goodeatsfinder
"chose the Chargrilled Burger with Roquefort & Shoestrings ($20) while the other travel bunnie was feeling festive enough to go with the Cubano Sandwich with Arugula Salad ($18). So the verdict, my burger was good…… if by good you mean juicy, tender, tasty and ohh-soo-cheesy that my mouth instinctively started salivating each time my hands brought it up of the plate ...
Read full post on dolcebunnie.blogspot.com",The Spotted Pig,4-Oct-13,DolceBunnie
"The Spotted Pig is a gastropub in the West Village of Manhattan. The chef and owner, April Bloomfield, has been hailed a chefs chef and the restaurant has been mentioned by many NY chefs as the place THEY go when they want to eat out. The food is British and Italian and the dishes are creative and utterly delicious.
...
Read full post on properfare.com",The Spotted Pig,1-Aug-13,Properfare
"My main was one of the specials on the day and was a whole grilled market trout with seasonal vegetables. I'm always a little nervous when I order a whole fish, if it's not cooked perfectly they are difficult to eat because the flesh doesn't fall off the bone. No such problems when this trout was delivered, not only did it look lovely on the plate but when I started to peel the flesh away from the bones, I could see that it had been treated with respect and cooked expertly. ...
Read full post on foodmeupscotty.com",The Spotted Pig,26-Jul-13,FoodMeUpScotty
"I really enjoyed my week's holiday in New York, and as one might expect the food played a large part in that. Rather than do loads of blog posts (I really can't be arsed nowadays) here's a round-up of some of my favourite eats in the Big Apple. The dimly-lit dining room at Minetta Tavern , while terrible for food photography, is one of the most buzzy, atmospheric ones I've eaten in. And I've eaten in a lot. I kicked off with a generous portion of roasted bone marrow served with shallot confit and baguette soldiers while my friend went with roast baby beets . Both got the thumbs up. For mains, we both ordered the legendary Black Label burger . Made with prime cuts of dry-aged beef, topped with caramelized onions and served in a sesame-topped brioche bun, this was without doubt the best burger I've ever eaten. Oh, and the big mountain of fries were bloody amazing, too. Overall, Minetta Tavern was probably my favourite out of all the restaurants I visited in New York. This begs the questi ...
Read full post on eatlovenoodles.blogspot.com",The Spotted Pig,17-Jun-13,Mr Noodles
"...what else do I need to say but thick chargrilled beef on a brioche bun with crumbly roquefort cheese and to top it off shoestring fries that are served with a delicious tangled mess of fried rosemary. The Spotted Pig is located at 314 W 11th Street at Greenwich Street. If you are really hungry please also try the chicken liver toast. This is the best chicken liver parfait I have ever eaten and I implore you to try it. This is what you would call a gastropub (or hipster-ville as I like to refer to it). It is considered the first gastropub in NYC. The gastropub originated in the UK and it really just describes a bar that serves high end beer and food. The walls are ado ...
Read full post on melpaired.wordpress.com",The Spotted Pig,7-Jun-13,Melpaired
"Delicious Date Idea. This place definitely stands out among the many adorable West Village restaurants. The food is delicious and the cozy environment make it a great place to impress a date!

datemapps.com",The Spotted Pig,28-May-13,Ls2804
"POSITIVE
   Rabbits. After eating their rabbits leg, I think I'll start chasing more rabbits.",The Spotted Pig,18-May-13,ML2
"POSITIVE
   I loved the burger, this restaurant is very cozy and I will definitely go again.",The Spotted Pig,26-Apr-13,Sherif Ahmed Nasser
"With chef and co-owner April Bloomfield behind the reigns, the restaurant has one Michelin star under its belt and a hoard of hungry patrons each night waiting hours for a table. ...
Read full post on wherejessate.com",The Spotted Pig,12-Apr-13,Jess W.
"The service is a little ‘too cool for school’ and I struggled to get anybody’s attentions for a second drink (a big glass of pinot noir, it was our anniversary!!!). The waiting staff resembled a grumpy hardcore band than anything else, but they got the job done, and I think that they somehow add to its charm. ...
Read full post on mrspetticoat.co.uk",The Spotted Pig,9-Apr-13,Victoria “Mrs” Petticoat
"The Spotted Pig is well known for their Deviled Eggs which I order. Some of us at the bar discuss how we think they “cheated” when making the eggs, using more than one yolk per egg to create the heaping, overflowing and yummy filling in the Deviled Eggs. The crowd at the bar was fun and engaging, really making the entire experience terrific. The Spotted Pig is also a destination known for their burger and shoestring fries which I order. They were great and did not disappoint. The guy next to me had the Sea Bass which looked very good and he raved about it. ...
Read full post on bartaste.com",The Spotted Pig,6-Apr-13,BarTaste
"This place is pretty well known and widely regarded as kicking off the Gastro pub scene in New York. It’s often frequented by chefs, part owned by Iron Chef Mario Batali – you get the drift. Does it live up to the hype? Yes. ...
Read full post on thecitylane.com",The Spotted Pig,4-Apr-13,The City Lane
Unbelievable little gem. This is a must. In my top 3 restaurants for sure! The burger and fries with rosemary and garlic are for sure the most amazing ever! I stayed for a week and went 2 times! Great for lunch! A place I could go everyday!,The Spotted Pig,30-Mar-13,Tara
"POSITIVE
   Awesome. Spotted Pig is good hangout place in west village,Me and some friends visited this place in late January. If you find your self in the area and ready to try some rustic food then this place is must. The staff are really helpful, and the food consistently good.",The Spotted Pig,3-Mar-13,Joe Pezzoronni
"This is, quite possibly, gastropub fare at its finest which explains the packed-to-the-rafters crowds and the consistent critical acclaim. All in all, you can’t visit New York without braving the crowds (and co-ed bathrooms) at The Spotted Pig.
...
Read full post on thepalateprincess.com",The Spotted Pig,23-Feb-13,Iris McCarthy
"POSITIVE
   So cute. Had the bass and it was awesome. Hubs had the hanger steak which he loved. We also tried the deviled eggs, but since we are from the South it is tough competition. The deviled eggs were passable, and needed more paprika or kick to bring it up a notch. Susan spicer's deviled egg app at Mondo is > . But overall, lovely little place. Wish they had more lively desserts!",The Spotted Pig,20-Feb-13,MFL
"POSITIVE
   It's good, but not sure it's worth the 2 hour wait just to get in the door! Had the burger with fries.",The Spotted Pig,2-Nov-12,Foodlover12
"A hot tip on a choice locale for a Sunday brunch in the West Village. We knew doors swung open at 11am so we joined the line that had formed outside the door before this time and were ushered inside and before too long we were taken to a table. There were literally pigs everywhere - it was kitchy and adorable. I had wanted to go there and soon as I read Deep Fried Poached Eggs with Chorizo Stew on the menu. I mean don’t they sound intriguing! They are both intriguing and delicious!! And a cocktail with eggs – what a treat!! Felt all very trendy – great spot for a long, lazy breakfast. ...
Read full post on perthmunchkin.com",The Spotted Pig,11-Oct-12,Carly Jane
,The Spotted Pig,6-Oct-12,Stephane
"POSITIVE
   This is my favorite restaurant in NYC. Everything on the menu is outstanding, lunch and dinner. The service is extremely attentive and knowledgeable of what they are giving you. Tight ship is run here. Don't walk, run.",The Spotted Pig,29-Sep-12,Sangelcet
"POSITIVE
   Pretty funny name",The Spotted Pig,12-Sep-12,Wasem Fahd Gawish
,The Spotted Pig,1-Sep-12,NYC Gluten-Free Grubber
"POSITIVE
   Small Yet Big on taste. It's kind of tight quarters in this restaurant upstairs and downstairs. We sat by the window for for drinks and bites and people watching. Great location, in a great neighborhood. The bartender that took our order was sweet and informative. Of what we had, the ricotta gnudi was the stand out. Even the salad we had was good. I left wanting more - I will go back.",The Spotted Pig,14-Aug-12,CC
"POSITIVE
   This Pig Don't Need No Lipstick.... Been eating at The Spotted Pig from the beginning and I've never had a bad meal. The wait is always worth it and the check is always bigger because we spy new things at neighboring tables that we just have to try. Bring an open mind and an appetite. The Spotted Pig is good for the soul.",The Spotted Pig,3-Aug-12,John Racine
"So we made it to The Spotted Pig over the week end! It has been a while since I wanted to try: I heard many people talking about this place and about what is supposed to be an outstanding burger! You do not need to tell me that twice to have a restaurant in my radar! The place has its charm with a bunch of piggies all over the place! There is even a frame that reminded me of the movie Delicatessen! From outside, it gives a feel of a house in the country, with all the plants. Not only can you see pigs from outside, but they are everywhere inside, giving a playful feel to the warm decor. With a name like The Spotted Pig, you could imagine that the restaurant is all about the edible parts of this animal, but as you will see, it is not the case. In fact, all drawings and photos are not only about pigs, although they are the majority. So we went on a Saturday and decided to show up for brunch at 11:30am, fearing that, with no reservation, we would have a problem to get a table. Yes, this re ...
Read full post on ijustwanttoeat.com",The Spotted Pig,29-Jul-12,I Just Want To Eat
"POSITIVE
   The burger here was amazing. I had mine cooked medium to rare and it melted in my mouth. I opted for no cheese. the bun was crisp and clearly freshly home made. The chips were crispy too. You get a lot for your money and for great value. Really relaxed pub. Loved it.",The Spotted Pig,20-Jun-12,The Secret Chef
"Although I enjoy discovering lesser-known places, being in the position I am in, I know that there are a few restaurant experiences I simply need to have. The Spotted Pig falls into that category. So last night, I went with a friend to enjoy some food and conversation. Walking over to the restaurant from Hudson Street had us lost in the beauty of New York City’s West Village. Historic townhouses and ivy-covered brick buildings lined the narrow streets that led us to the corner of West 11 th and Greenwich. As we approached the restaurant we noticed the silver “spotted pig” hanging from above the door, surrounded by plants, bushes and flowers of all-types. Expecting a long wait (the no-reservation policy makes TSP infamous for this), we had our name in early but w ...
Read full post on theyounggourmand.tumblr.com",The Spotted Pig,20-Jun-12,Nick
"POSITIVE
   Really loved this place, gorgeously decorated & individual little dining rooms & the food was absolutely wonderful. Not cheap, but worth it.",The Spotted Pig,10-Jun-12,Sharen Alcock
"RATED
    I didn’t think that British food and yummy could be used in a sentence together until I went to the Spotted Pig. April Bloomfield is the super talented chef behind the deliciousness of this gastro pub. ...
Read full post on therestaurantfairy.com",The Spotted Pig,21-May-12,The Restaurant Fairy
